mean_predicted_probability,observed_default_rate
0.007284322012451875,0.004
0.00913038471141474,0.006979062811565304
0.01107191668459184,0.007355399531929121
0.01345333569351285,0.01
0.017226813477492654,0.02
0.025372754052418425,0.023333333333333334
0.03911599155641366,0.036333333333333336
0.06333493661828221,0.067
0.11301980256142101,0.126
0.36827461418797414,0.36733333333333335
