segment,bucket,rows,default_rate,avg_probability,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
age_bucket,18-35,4309,0.12090972383383616,0.10938746107939638,0.4440944881889764,0.5412667946257198,0.48788927335640137,3435,353,239,282
age_bucket,36-50,9749,0.08523951174479434,0.08639193904038182,0.407514450867052,0.5090252707581228,0.45264847512038525,8303,615,408,423
age_bucket,51-65,10193,0.0516040419896007,0.05308272126401466,0.39404553415061294,0.42775665399239543,0.41020966271649956,9321,346,301,225
age_bucket,66+,5743,0.02211387776423472,0.025274902977514183,0.3627450980392157,0.29133858267716534,0.3231441048034934,5551,65,90,37
income_bucket,income_q1,7501,0.09345420610585255,0.08940410025559156,0.40700218818380746,0.5306704707560628,0.46068111455108357,6258,542,329,372
income_bucket,income_q2,10394,0.06417163748316336,0.0654898778175986,0.40240963855421685,0.5007496251874063,0.44622578490313963,9231,496,333,334
income_bucket,income_q3,4627,0.06332396801383186,0.06019385762619855,0.4788732394366197,0.4641638225255973,0.4714038128249567,4186,148,157,136
income_bucket,income_q4,7478,0.046001604707140945,0.049745682748118254,0.38819875776397517,0.3633720930232558,0.37537537537537535,6937,197,219,125
late_payment_bucket,1-2,4609,0.1549142981123888,0.1509370246615625,0.3294538943598926,0.5154061624649859,0.4019661387220098,3146,749,346,368
late_payment_bucket,3+,1391,0.44572250179726813,0.4428235979679085,0.4901793339026473,0.9258064516129032,0.6409826912339475,174,597,46,574
late_payment_bucket,none,23945,0.026769680517853413,0.02820795715854164,0.23684210526315788,0.014040561622464899,0.026509572901325478,23275,29,632,9
