threshold,true_negative,false_positive,false_negative,true_positive,precision,recall,f1,decline_rate,business_cost
0.1,24642,3353,662,1343,0.2859880749574106,0.6698254364089775,0.4008356961647515,0.15653333333333333,6663
0.23,26612,1383,1038,967,0.4114893617021277,0.4822942643391521,0.44408725602755456,0.07833333333333334,6573
0.3,27085,910,1223,782,0.46217494089834515,0.3900249376558603,0.42304571274005953,0.0564,7025
0.5,27752,243,1634,371,0.6042345276872965,0.18503740648379052,0.2833142420771287,0.020466666666666668,8413
